
ABD00107;10.208.20.51;NCR         
ABD00108;10.208.20.106;NCR         
ABD00109;10.160.15.8;NCR         
ABD00112;10.208.21.90;NCR         
ABD00114;10.208.21.74;NCR         
ABD00115;10.208.21.114;NCR         
ABD00116;10.160.0.6;NCR         
ABD00118;10.160.68.9;NCR         
ABD00119;10.160.20.10;NCR         
ABD00121;10.160.46.9;NCR         
ABD00122;10.160.51.10;NCR         
ABD00123;10.160.91.10;NCR         
ABD00124;10.160.2.9;NCR         
ABD00128;10.160.16.11;NCR         
ABD00129;10.160.115.9;NCR         
ABD00130;10.160.69.8;NCR         
ABD00131;10.160.7.8;NCR         
ABD00132;10.160.35.8;NCR         
ABD00133;10.160.30.8;NCR         
ABD00135;10.208.22.178;NCR         
ABD00136;10.208.22.10;NCR         
ABD00138;10.208.22.2;NCR         
ABD00140;10.160.58.9;NCR         
ABD00141;10.208.22.18;NCR         
ABD00144;10.208.22.42;NCR         
ABD00145;10.160.23.10;NCR         
ABD00146;10.160.133.9;NCR         
ABD00148;10.160.0.16;NCR         
ABD00149;10.160.0.18;NCR         
ABD00150;10.160.15.11;NCR         
ABD00151;10.160.0.17;NCR         
ABD00153;10.160.11.10;NCR         
ABD00154;10.160.93.10;
ABD00155;10.160.24.8;NCR         
ABD00156;10.160.95.8;NCR         
ABD00157;10.160.141.9;NCR         
ABD00158;10.160.97.10;NCR         
ABD00159;10.160.139.9;NCR         
ABD00160;10.160.16.9;NCR         
ABD00161;10.160.98.8;NCR         
ABD00162;10.160.4.8;NCR         
ABD00164;10.160.143.9;NCR         
ABD00171;10.208.25.18;NCR         
ABD00173;10.160.137.9;NCR         
ABD00178;10.160.51.11;NCR         
ABD00179;10.160.74.10;NCR         
ABD00181;10.160.145.9;NCR         
ABD00183;10.160.128.9;NCR         
ABD00184;10.160.61.9;NCR         
ABD00185;10.160.12.10;NCR         
ABD00187;10.160.29.8;NCR         
ABD00189;10.160.133.8;NCR         
ABD00190;10.160.74.11;NCR         
ABD00192;10.160.150.9;NCR         
ABD00193;10.160.139.8;NCR         
ABD00194;10.160.0.14;NCR         
ABD00195;10.160.150.8;NCR         
ABD00198;10.160.166.9;NCR         
ABD00199;10.160.161.9;NCR         
ABD00200;10.160.168.9;NCR         
ABD00201;10.160.159.9;NCR         
ABD00208;10.160.163.9;NCR         
ABD00209;10.160.158.9;NCR         
ABD00212;10.160.167.9;NCR         
ABD00214;10.160.96.8;NCR         
ABD00217;10.208.24.146;NCR         
ABD00219;10.160.29.10;NCR         
ABD00221;10.160.45.8;NCR         
ABD00223;10.48.127.8;NCR         
ABD00224;10.48.151.8;NCR         
ABD00225;10.48.147.11;NCR         
ABD00226;10.160.113.9;NCR         
ABD00227;10.48.160.8;NCR         
ABD00228;10.160.187.9;NCR         
ABD00229;10.48.218.8;NCR         
ABD00230;10.144.52.15;NCR         
ABD00231;10.144.52.12;NCR         
ABD00232;10.144.52.13;NCR         
ABD00233;10.144.52.14;NCR         
ABD00234;10.208.24.10;NCR         
ABD00235;10.208.27.250;NCR         
ABD00236;10.160.139.11;NCR         
ABD00237;10.208.28.178;NCR         
ABD00238;10.160.141.8;NCR         
ABL00001;10.34.45.10;NCR         
ABL00003;10.32.245.9;NCR         
ABL00004;10.32.245.10;DIBOLD      
ABL00006;10.208.19.122;NCR         
ABL00008;10.208.24.42;NCR         
ABL00009;10.208.1.26;NCR         
ABL00010;10.32.2.5;NCR         
ABL00011;10.208.2.10;NCR         
ABL00012;10.208.5.122;NCR         
ABL00014;10.32.242.9;NCR         
ABL00015;10.208.23.122;NCR         
ABL00017;10.208.27.218;NCR         
ABL00018;10.33.67.9;NCR         
ABL00019;10.32.4.110;NCR         
ABL00020;10.32.4.5;NCR         
ABL00021;10.208.4.82;NCR         
ABL00022;10.208.1.90;NCR         
ABL00023;10.208.1.82;NCR         
ABL00024;10.208.19.42;NCR         
ABL00025;10.208.1.74;NCR         
ABL00026;10.208.19.51;NCR         
ABL00027;10.208.19.50;NCR         
ABL00029;10.208.1.107;NCR         
ABL00030;10.34.23.9;NCR         
ABL00031;10.34.23.10;NCR         
ABL00032;10.208.28.18;NCR         
ABL00033;10.32.5.5;NCR         
ABL00034;10.32.162.3;NCR         
ABL00036;10.33.47.2;NCR         
ABL00037;10.208.26.226;NCR         
ABL00038;10.208.27.26;NCR         
ABL00039;10.34.78.9;NCR         
ABL00040;10.32.88.9;NCR         
ABL00041;10.208.17.202;NCR         
ABL00042;10.32.138.30;NCR         
ABL00043;10.208.17.114;NCR         
ABL00044;10.208.0.234;NCR         
ABL00045;10.208.17.115;NCR         
ABL00046;10.208.2.218;NCR         
ABL00047;10.208.3.26;NCR         
ABL00048;10.208.7.26;NCR         
ABL00049;10.208.17.106;NCR         
ABL00050;10.34.58.9;NCR         
ABL00051;10.32.11.9;NCR         
ABL00052;10.32.11.5;DIBOLD      
